Song-Name,Singer/Artists,Genre,Album/Movie,User-Rating
Dhadak Title Track,"Ajay Gogavale, Shreya Ghoshal",BollywoodRomantic,Dhadak,9.4/10
Heeriye,"Deep Money, Meet Bros, Neha Bhasin",BollywoodDanceRomantic,Race 3,8.7/10
Chogada,"Asees Kaur, Darshan Raval",BollywoodDance,Loveratri,9.3/10
Gud Naal Ishq Mitha,"Harshdeep Kaur, Navraj Hans",BollywoodDance,Ek Ladki Ko Dekha Toh Aisa Laga,9.3/10
Paniyon Sa,"Atif Aslam, Tulsi Kumar",BollywoodRomantic,Satyameva Jayate,9.5/10
Milegi Milegi,Mika Singh,BollywoodDance,Stree,9.1/10
Morni Banke,"Guru Randhawa, Neha Kakkar",BollywoodDance,Badhaai Ho,9.0/10
Bhare Bazaar,"B Praak, Badshah, Payal Dev, Vishal Dadlani",BollywoodDance,Namaste England,9.0/10
Khalibali,Shivam Pathak,BollywoodDance,Padmaavat,9.1/10
Aao Kabhi Haveli Pe,"Badshah, Jigar, Nikhita Gandhi, Sachin Sanghvi",BollywoodDance,Stree,8.4/10
Badri Ki Dulhania,"Dev Negi, Ikka, Monali Thakur, Neha Kakkar",BollywoodDance,Badrinath Ki Dulhania,8.4/10
Cheez Badi,"Neha Kakkar, Udit Narayan",BollywoodDance,Machine,8.8/10
Dholida,"Neha Kakkar, Palak Muchchal, Raja Hassan, Udit Narayan",BollywoodDance,Loveratri,9.2/10
Sweetheart,Dev Negi,BollywoodDance,Kedarnath,9.2/10
Namo Namo,Amit Trivedi,BollywoodDevotional,Kedarnath,9.6/10
Qaafirana,"Arijit Singh, Nikhita Gandhi",BollywoodRomantic,Kedarnath,9.6/10
Tu Hi Re,"Armaan Malik, Shashaa Tirupati",BollywoodDance,2,9.0/10
Chhote Chhote Peg,"Navraj Hans, Neha Kakkar, Yo Yo Honey Singh",BollywoodDance,Sonu Ke Titu Ki Sweety,9.1/10
Galti Se Mistake,"Amit Mishra, Arijit Singh",BollywoodDance,Jagga Jasoos,8.5/10
Phir Mulaaqat,Jubin Nautiyal,BollywoodRomantic,Cheat India,9.5/10
Kala Chashma,"Amar Arshi, Badshah, Neha Kakkar",BollywoodDance,Baar Baar Dekho,8.5/10
Mantoiyat,Raftaar,Bollywood,Manto,9.7/10
Nashe Si Chadh Gayi,Arijit Singh,BollywoodDance,Befikre,8.9/10
Mera Pyar Tera Pyar,Arijit Singh,BollywoodRomanticSad,Jalebi,9.6/10
Ding Dang,"Amit Mishra, Antara Mitra",BollywoodDance,Munna Michael,8.5/10
Main Tera Boyfriend,"Arijit Singh, Meet Bros, Neha Kakkar",BollywoodDance,Raabta,9.1/10
Laila Main Laila,Pawni Pandey,BollywoodDance,Raees,8.7/10
Ghoomar,"Shreya Ghoshal, Swaroop Khan",BollywoodDance,Padmaavat,8.6/10
Rafta Rafta Medley,"Akash Ojha, Disha Sharma, Jordi Patel, Rekha, Sonakshi Sinha, Vishal Mishra",BollywoodDance,Yamla Pagla Deewana Phir Se,9.3/10
Pal,"Arijit Singh, Shreya Ghoshal",BollywoodRomantic,Jalebi,9.7/10
Patola,Guru Randhawa,BollywoodDance,Black Mail,8.9/10
Pallo Latke,"Fazilpuria, Jyotica Tangri, Yasser Desai",BollywoodDance,Shaadi Mein Zaroor Aana,9.0/10
Main Badhiya Tu Bhi Badhiya,"Sonu Nigam, Sunidhi Chauhan",Bollywood,Sanju,9.0/10
Billionaire,"Simar Kaur, Singhsta, Yo Yo Honey Singh",BollywoodDance,Baazaar,9.3/10
This Party Is Over Now,Yo Yo Honey Singh,BollywoodDance,Mitron,9.3/10
Heer Badnaam,Romy,BollywoodDanceSad,Zero,9.1/10
Tera Hua,Atif Aslam,BollywoodRomantic,Loveratri,9.0/10
Jaan Nisaar,Arijit Singh,BollywoodRomantic,Kedarnath,9.7/10
Akh Lad Jaaye,"Asees Kaur, Badshah, Jubin Nautiyal",BollywoodDanceRomantic,Loveratri,9.2/10
Rangtaari,"Dev Negi, Yo Yo Honey Singh",BollywoodDance,Loveratri,9.1/10
The Humma Song,"Badshah, Jubin Nautiyal, Shashaa Tirupati",BollywoodDance,Ok Jaanu,9.0/10
Pehli Baar,Ajay Gogavale,BollywoodRomantic,Dhadak,8.9/10
Tera Yaar Hoon Main,Arijit Singh,BollywoodRomanticSad,Sonu Ke Titu Ki Sweety,9.5/10
Dilbaro,"Harshdeep Kaur, Shankar Mahadevan, Vibha Saraf",Bollywood,Raazi,9.5/10
Chhod Diya,Arijit Singh,BollywoodSad,Baazaar,9.7/10
Maine Tujhko Dekha,"Neeraj Shridhar, Sukriti Kakar",BollywoodDance,Golmaal Again,9.0/10
Allah Duhai Hai,"Amit Mishra, Jonita Gandhi, Sreerama Chandra",BollywoodDance,Race 3,8.1/10
Cham Cham,Monali Thakur,BollywoodDance,Baaghi,8.1/10
Kar Har Maidaan Fateh,"Shreya Ghoshal, Sukhwinder Singh",BollywoodMotivational,Sanju,9.5/10
Kamariya,"Aastha Gill, Divya Kumar, Jigar Saraiya, Sachin Sanghvi",BollywoodDance,Stree,9.1/10
Tamma Tamma Again,"Anuradha Paudwal, Badshah, Bappi Lahiri",BollywoodDance,Badrinath Ki Dulhania,8.6/10
Tera Fitoor,Arijit Singh,BollywoodRomantic,Genius,9.4/10
Mere Rashke Qamar,"Nusrat Fateh Ali Khan, Rahat Fateh Ali Khan",BollywoodRomantic,Baadshaho,9.0/10
The Breakup Song,"Arijit Singh, Badshah, Jonita Gandhi, Nakash Aziz",BollywoodDance,Ae Dil Hai Mushkil,9.0/10
Naino Ne Bandhi,Yasser Desai,BollywoodRomantic,Gold,9.6/10
Sanu Ek Pal Chain,Rahat Fateh Ali Khan,BollywoodRomantic,Raid,9.3/10
Ban Ja Rani,Guru Randhawa,BollywoodDanceRomantic,Tumhari Sulu,9.0/10
Zaalima,"Arijit Singh, Harshdeep Kaur",BollywoodDanceRomantic,Raees,9.2/10
Baarish,"Ash King, Shashaa Tirupati",BollywoodRomantic,Half Girlfriend,9.3/10
Aashiq Banaya Aapne,"Himesh Reshammiya, Neha Kakkar",BollywoodDance,Hate Story 4,9.1/10
Ek Do Teen Song,Shreya Ghoshal,BollywoodDance,Baaghi 2,8.6/10
Tere Liye,"Akanksha Bhandari, Atif Aslam",BollywoodRomantic,Namaste England,9.5/10
Nazam Nazam,"Arko, Ayushman Khurana",BollywoodRomance,Bareilly Ki Barfi,9.5/10
Good Morning,"Shannon Donald, Vishal Dadlani",Bollywood,Ek Ladki Ko Dekha Toh Aisa Laga,9.0/10
O Saathi,"Atif Aslam, Payal Dev",BollywoodRomantic,Baaghi 2,9.4/10
Tere Jaisa,"Arko, Tulsi Kumar",BollywoodRomantic,Satyameva Jayate,9.2/10
Mera Intkam Dekhegi,Krishna Beuraa,BollywoodSad,Shaadi Mein Zaroor Aana,9.6/10
Gerua,"Antara Mitra, Arijit Singh",BollywoodRomantic,Dilwale,9.3/10
Suraiyya,"Shreya Ghoshal, Vishal Dadlani",BollywoodDance,Thugs of Hindostan,7.7/10
Gold Tamba,Nakash Aziz,BollywoodDance,Batti Gul Meter Chalu,9.2/10
Ae Dil Hai Mushkil,Arijit Singh,BollywoodSad,Ae Dil Hai Mushkil,9.3/10
Prem Ratan Dhan Payo,Palak Muchhal,BollywoodDanceRomantic,Prem Ratan Dhan Payo,7.7/10
Mohabbat,Sunidhi Chauhan,BollywoodDance,Fanney Khan,9.0/10
Nainowale Ne,Neeti Mohan,BollywoodRomantic,Padmaavat,9.5/10
Mummy Kasam,"Gurinder Seagal, Payal Dev",BollywoodDance,Nawabzaade,9.4/10
Nasha,Amit Gupta,BollywoodSensual,Game Paisa Ladki,9.0/10
Bulleya,"Amit Mishra, Shilpa Rao",BollywoodDanceSad,Ae Dil Hai Mushkil,9.2/10
Kar Gayi Chull,"Badshah, Fazilpuria, Neha Kakkar, Sukriti Kakar",BollywoodDance,Kapoor & Sons,9.0/10
Musafir,"Atif Aslam, Palak Muchhal",BollywoodSad,Sweetiee Weds NRI,9.4/10
Binte Dil,Arijit Singh,BollywoodDance,Padmaavat,9.4/10
Halka Halka,"Divya Kumar, Sunidhi Chauhan",BollywoodRomantic,Fanney Khan,9.1/10
Humsafar,"Akhil Sachdeva, Mansheel Gujral",BollywoodRomanticSad,Badrinath Ki Dulhania,9.3/10
Chad Gayi Hai,"Jigar, Sachin Sanghvi, Vishal Dadlani",BollywoodDance,Gold,9.2/10
Tum Mere Ho,"Amrita Singh, Jubin Nautiyal",BollywoodSensual,Hate Story 4,9.1/10
Bole Chudiyan,"Alka Yagnik, Amit Kumar, Kavita Krishnamurthy, Sonu Nigam, Udit Narayan",BollywoodDanceRomantic,Kabhi Khushi Kabhie Gham,9.0/10
Sawarne Lage,Jubin Nautiyal,BollywoodRomantic,Mitron,9.8/10
Chalti Hai Kya 9 Se 12,"Dev Negi, Neha Kakkar",BollywoodDance,Judwaa 2,8.9/10
Selfish,"Atif Aslam, Iulia Vantur",BollywoodRomantic,Race 3,6.8/10
Oonchi Hai Building,"Anu Malik, Neha Kakkar",BollywoodDance,Judwaa 2,8.9/10
Shikwa Nahin Kisi Se,Kumar Sanu,BollywoodSad,Naseeb,8.2/10
Sanam Re,Arijit Singh,BollywoodRomantic,Sanam Re,8.7/10
Dekha Hai Pehli Baar,"Alka Yagnik, S.P. Balasubrahmanyam",BollywoodDance,Saajan,8.2/10
Phir Bhi Tumko Chaahunga,"Arijit Singh, Shashaa Tirupati",BollywoodSad,Half Girlfriend,9.4/10
Suit Suit,"Arjun, Guru Randhawa",BollywoodDance,Hindi Medium,9.0/10
Nachange Saari Raat,"Meet Bros, Neeraj Shridhar, Tulsi Kumar",BollywoodDance,Junooniyat,8.9/10
Ishq Di Baajiyan,Diljit Dosanjh,BollywoodRomantic,Soorma,9.9/10
Hard Hard,"Mika Singh, Prakriti Kakar, Sachet Tandon",BollywoodDance,Batti Gul Meter Chalu,8.7/10
Udi Udi Jaye,"Bhoomi Trivedi, Karsan Sagathia, Sukhwinder Singh",BollywoodDance,Raees,8.9/10
Nazar Na Lag Jaaye,"Ash King, Jigar, Sachin Sanghvi",BollywoodRomantic,Stree,9.6/10
Nachle Na,"Guru Randhawa, Neeti Mohan",BollywoodDance,Dil Juunglee,9.5/10
Hatt Ja Tau,Sunidhi Chauhan,BollywoodDance,Veerey Ki Wedding,8.7/10
Chittiyaan Kalaiyaan,"Anjjan, Kanika Kapoor, Meet Bros",BollywoodDance,Roy,8.4/10
La La La (Baazaar),"Bilal Saeed, Neha Kakkar",BollywoodDanceRomantic,Baazaar,9.5/10
Tujhse Kahan Judaa Hoon Main,"Himesh Reshammiya, Neeti Mohan, Vineet Singh",BollywoodSad,Genius,9.3/10
Hua Hain Aaj Pehli Baar,"Armaan Malik, Palak Muchhal",BollywoodRomantic,Sanam Re,8.3/10
Jay-Jaykara,Kailash Kher,BollywoodSad,Baahubali 2 - The Conclusion,9.2/10
Tu Hi Hai,Rahul Mishra,Bollywood,Half Girlfriend,9.3/10
Hawa Hawa,"Mika Singh, Prakriti Kakkar",BollywoodDance,Mubarakan,8.9/10
Bhangra Ta Sajda,"Neha Kakkar, Romy, Shashwat Sachdev, Surya Ragunaathan",BollywoodDance,Veere Di Wedding,8.7/10
Deewani Mastani,"Ganesh Chandanshive, Shreya Ghoshal",BollywoodDance,Bajirao Mastani,9.1/10
O Meri Laila,"Atif Aslam, Jyotica Tangri",BollywoodRomantic,Laila Majnu,9.6/10
Lo Safar,Jubin Nautiyal,BollywoodRomantic,Baaghi 2,9.4/10
Chalte Chalte,Atif Aslam,BollywoodRomantic,Mitron,9.6/10
Party Chale On,"Iulia Vantur, Mika Singh",BollywoodDance,Race 3,8.6/10
Sweety Tera Drama,"Dev Negi, Pawni Pandey, Shraddha Pandit",BollywoodDance,Bareilly Ki Barfi,9.1/10
Ek Dil Ek Jaan,Shivam Pathak,BollywoodRomantic,Padmaavat,9.2/10
Ae Watan,Arijit Singh,BollywoodPatriotic,Raazi,9.6/10
Sunn Le Zara,Arnab Dutta,BollywoodSad,1921,9.6/10
Naam Hai Mera,Neeti Mohan,BollywoodRomanticSad,Hate Story 4,8.8/10
Jiyo Re Baahubali,"Daler Mehndi, Ramya Behara, Sanjeev Chimmalgi",BollywoodDance,Baahubali 2,8.7/10
Soniye Dil Nayi,"Ankit Tiwari, Shruti Pathak",BollywoodRomanticSad,Baaghi 2,9.4/10
Mundiyan,"Navraj Hans, Palak Muchhal",BollywoodDance,Baaghi 2,9.0/10
Chitthi Aai Hai,Pankaj Udhas,BollywoodSad,Naam,8.1/10
Hawayein,Arijit Singh,BollywoodRomantic,Jab Harry Met Sejal,9.6/10
Channa Mereya,Arijit Singh,BollywoodSad,Ae Dil Hai Mushkil,9.3/10
Lag Ja Gale,Jonita Gandhi,BollywoodRomantic,Saheb Biwi Aur Gangster 3,9.4/10
Sleepy Sleepy Akiyaan,"Asees Kaur, Yasser Desai",BollywoodDance,Bhaiaji Superhit,9.2/10
Subah Subah,"Amaal Mallik, Arijit Singh, Prakriti Kakkar",BollywoodDance,Sonu Ke Titu Ki Sweety,9.5/10
Naina Da Kya Kasoor,Amit Trivedi,BollywoodRomantic,Andha Dhun,9.6/10
Soorma Anthem,Shankar Mahadevan,BollywoodMotivational,Soorma,9.9/10
Agar Tum Saath Ho,"Alka Yagnik, Arijit Singh",BollywoodSad,Tamasha,9.4/10
Tum Se,Jubin Nautiyal,BollywoodRomanticSad,Jalebi,9.7/10
Kem Cho,"Ikka, Jyotica Tangri",BollywoodDance,Baazaar,9.4/10
Aaj Se Teri,Arijit Singh,BollywoodRomantic,Padman,9.4/10
Maana Ke Hum Yaar Nahin,Parineeti Chopra,BollywoodRomantic,Meri Pyaari Bindu,9.5/10
Nain Na Jodeen,"Ayushmann Khurrana, Neha Kakkar, Rochak Kohli",BollywoodRomanticSad,Badhaai Ho,9.3/10
Wajah Tum Ho,"Altamash Faridi, Mithoon, Tulsi Kumar",BollywoodRomanticSadSensual,Wajah Tum Ho,8.1/10
Pyaar De,Ankit Tiwari,BollywoodRomantic,Beiimaan Love,8.5/10
Ik Vaari Aa,Arijit Singh,BollywoodRomantic,Raabta,9.4/10
Radha,"Shekhar Ravjiani, Shreya Ghoshal, Udit Narayan, Vishal Dadlani",BollywoodDance,Student of the Year,8.6/10
Mehbooba,"Mohammed Rafi, Neha Kakkar, Yasser Desai",BollywoodDance,Fukrey Returns,9.4/10
Hamari Adhuri Kahani,Arijit Singh,BollywoodSad,Hamari Adhuri Kahani,9.3/10
Tere Sang Yaara,Atif Aslam,BollywoodRomantic,Rustom,9.1/10
Radha,"Shahid Mallya, Sunidhi Chauhan",BollywoodRomantic,Jab Harry Met Sejal,9.2/10
Kamli,Sunidhi Chauhan,BollywoodDance,Dhoom 3,9.0/10
Maiya Yashoda,"Alka Yagnik, Anuradha Paudwal, Kavita Krishnamurthy",BollywoodDance,Hum Saath-Saath Hain,7.2/10
Lae Dooba,Sunidhi Chauhan,BollywoodSad,Aiyaary,9.7/10
Abhi Toh Party Shuru Hui Hai,"Aastha Gill, Badshah",BollywoodDance,Khoobsurat,8.5/10
Hello Hello,Rekha Bhardwaj,BollywoodDance,Pataakha,7.7/10
Bola Har Har Har,"Aaman Trikha, Badshah, Sukhwinder Singh",BollywoodDevotional,Shivaay,9.3/10
Bolo Har Har Har,"Anugrah, Badshah, Megha Sriram Dalton, Mithoon, Mohit Chauhan, Sukhwinder Singh",BollywoodDance,Shivaay,9.3/10
Tera Mera Rishta,"KK, Shreya Ghoshal",BollywoodRomantic,Jalebi,9.7/10
Gal Ban Gayi,"Meet Bros, Neha Kakkar, Sukhbir Singh, Yo Yo Honey Singh",BollywoodDance,Single,9.0/10
Bol Do Na Zara,Armaan Malik,BollywoodRomantic,Azhar,9.2/10
Lakk Mera Hit,"Mannat Noor, Rochak Kohli, Sukriti Kakar",BollywoodDance,Sonu Ke Titu Ki Sweety,9.2/10
Sexy Baliye,Mika Singh,BollywoodDance,Dil Chahta Hai,8.8/10
Main Jahaan Rahoon,Rahat Fateh Ali Khan,BollywoodSad,Namastey London,9.1/10
Hasi Ban Gaye,Shreya Ghoshal,BollywoodRomantic,Hamari Adhuri Kahani,9.3/10
Nachde Ne Saare,"Harshdeep Kaur, Jasleen Royal, Siddharth Mahadevan",BollywoodDance,Baar Baar Dekho,9.2/10
Manma Emotion Jaage,"Amit Mishra, Antara Mitra, Anushka Manchanda",BollywoodDanceRomantic,Dilwale,9.0/10
Happy Happy,"Aastha Gill, Badshah",Bollywood,Blackmail,9.2/10
Tujhko Na Dekhun,"Sunidhi Chauhan, Udit Narayan",Bollywood,Jaanwar,8.5/10
Theher Ja,Armaan Malik,BollywoodRomantic,October,9.6/10
Boond Boond,"Jubin Nautiyal, Neeti Mohan",BollywoodRomantic,Hate Story 4,9.3/10
Adhura Lafz,"Pratibha Singh Baghel, Rahat Fateh Ali Khan",BollywoodRomantic,Baazaar,9.7/10
Trippy Trippy,"Badshah, Benny Dayal, Brijesh Shandilya, Neha Kakkar",BollywoodDance,Bhoomi,8.5/10
Tukur Tukur,"Arijit Singh, Kanika Kapoor, Nakash Aziz, Neha Kakkar, Siddharth Mahadevan",BollywoodDance,Dilwale,8.9/10
Teri Khair Mangdi,Bilal Saeed,BollywoodSad,Baar Baar Dekho,9.6/10
Pinga,"Shreya Ghoshal, Vasihali Made",BollywoodDance,Bajirao Mastani,8.7/10
Haanikaarak,Sarwar Khan,Bollywood,Dangal,8.4/10
Tere Thumke Sapna Chaudhary,"Gunwant Sen, Khushboo Jain, Saumya Upadhyay",BollywoodDance,Nanu Ki Jaanu,9.2/10
Badnaamiyan,Armaan Malik,BollywoodRomantic,Hate Story 4,9.2/10
Malhari,Vishal Dadlani,BollywoodDance,Bajirao Mastani,9.1/10
Piya More,"Mika Singh, Neeti Mohan",Bollywood,Baadshaho,9.1/10
High Heels Te Nachche,"Aditi Singh Sharma, Jaz Dhami, Meet Bros",BollywoodDance,Ki & Ka,8.7/10
Shake Karaan,"Kanika Kapoor, Meet Bros",BollywoodDance,Munna Michael,8.9/10
Thodi Der,"Farhan Saeed, Shreya Ghoshal",BollywoodSad,Half Girlfriend,9.4/10
Har Dil Jo Pyar Karega,"Alka Yagnik, Udit Narayan",BollywoodDance,Har Dil Jo Pyar Karega,8.4/10
Raabta,Nikhita Gandhi,BollywoodRomantic,Raabta,9.0/10
Nach Meri Jaan,"Dev Negi, Kamaal khan, Nakash Aziz, Tushar Joshi",BollywoodDance,Tubelight,9.1/10
Janam Janam,"Antara Mitra, Arijit Singh",BollywoodRomantic,Dilwale,9.4/10
Andha Dhun,Raftaar,BollywoodDance,Andha Dhun,9.6/10
Holi Biraj Ma,Jubin Nautiyal,BollywoodDance,Genius,9.3/10
Kal Ho Naa Ho Title Track,Sonu Nigam,BollywoodSad,Kal Ho Naa Ho,9.5/10
Enna Sona,"A.R. Rahman, Arijit Singh",BollywoodRomantic,Ok Jaanu,9.5/10
Little Little,Harrdy Sandhu,BollywoodDance,Yamla Pagla Deewana Phir Se,9.2/10
Maa Sherawaliye,Sonu Nigam,Bollywood,Khiladiyon Ka Khiladi,7.6/10
Disco Disco,"Benny Dayal, Shirley Setia",BollywoodDance,A Gentleman,8.9/10
Lambiyaan Si Judaiyaan,"Altamash Faridi, Arijit Singh, Shadaab Faridi",BollywoodSad,Raabta,9.6/10
Aahista,"Arijit Singh, Jonita Gandhi",BollywoodRomantic,Laila Majnu,9.4/10
Naam Hai Bhaiaji,"Amit Mishra, Raftaar",Bollywood,Bhaiaji Superhit,9.4/10
Kisi Se Tum Pyaar Karo,"Alka Yagnik, Kumar Sanu",BollywoodRomantic,Andaaz,8.6/10
Naam Hai Bhaiaji,"Amit Mishra, Raftaar",Bollywood,Bhaiaji Superhit,9.4/10
Baba Bolta Hain Bas Ho Gaya,"Papon, Ranbir Kapoor, Supriya Pathak",Bollywood,Sanju,9.6/10
Sultan Title Song,"Shadaab Faridi, Sukhwinder Singh",BollywoodMotivational,Sultan,8.9/10
Radio,"Amit Mishra, Kamaal khan",BollywoodDance,Tubelight,8.6/10
Sab Badhiya Hai,Sukhwinder Singh,BollywoodDance,Sui Dhaaga,9.2/10
Chin Chin Chu,"Jassi Gill, Sonakshi Sinha",BollywoodDance,Happy Phirr Bhaag Jayegi,8.7/10
Beat Pe Booty,"Jigar Saraiya, Kanika Kapoor, Sachin Sanghvi, Vayu",BollywoodDance,A Flying Jatt,8.9/10
Jag Ghoomeya,Rahat Fateh Ali Khan,BollywoodRomantic,Sultan,8.7/10
Jogi,"Aakanksha Sharma, Yasser Desai",BollywoodRomantic,Shaadi Mein Zaroor Aana,9.6/10
Lets Nacho,"Badshah, Benny Dayal",BollywoodDance,Kapoor & Sons,9.2/10
Tu Tu Hai Wahi,"Asha Bhosle, Kishore Kumar",BollywoodRomantic,Yeh Vaada Raha,9.2/10
Yeh Vaada Raha,"Asha Bhosle, Kishore Kumar",BollywoodDance,Yeh Vaada Raha,9.2/10
Vande Mataram,"Badshah, Daler Mehndi, Divya Kumar, Tanishka Sanghvi",BollywoodDance,ABCD 2,9.4/10
Jeene Laga Hoon,Atif Aslam,BollywoodRomantic,Ramaiya Vastavaiya,9.0/10
Nit Khair Manga,Rahat Fateh Ali Khan,BollywoodRomantic,Raid,9.4/10
Jitni Dafa,"Jeet Gannguli, Yasser Desai",BollywoodRomantic,Parmanu The Story of Pokhran,9.7/10
Wajah Tum Ho,Armaan Malik,BollywoodRomanticSensual,Hate Story 3,8.8/10
Rozana,Shreya Ghoshal,BollywoodRomantic,Naam Shabana,9.6/10
Tu Meri Main Tera,"Altamash Faridi, Rahat Fateh Ali Khan, Shadab Faridi",BollywoodRomanticSad,Namaste England,9.4/10
Gallan Goodiyaan,"Farhan Akhtar, Manish Kumar Tipu, Shankar Mahadevan, Sukhwinder Singh, Yashita Sharma",BollywoodDance,Dil Dhadakne Do,8.9/10
Swag Se Swagat (Arabic),"Brigitte Yaghi, Neha Bhasin, Rabih Baroud, Vishal Dadlani",BollywoodDance,Tiger Zinda Hai,9.4/10
Kudiya Shehar Diyan,"Daler Mehndi, Neha Kakkar",BollywoodDance,Poster Boys,9.0/10
Kudiya Shehar Diyan,"Daler Mehndi, Neha Kakkar",BollywoodDance,Poster Boys,9.0/10
Aap Se Milkar,"Aakanksha Sharma, Ayushmann Khurrana",BollywoodRomantic,Andha Dhun,9.5/10
Socha Hai,"Jubin Nautiyal, Neeti Mohan",BollywoodRomantic,Baadshaho,9.5/10
Sawan Aaya Hai (Unplugged Version),"Neha Kakkar, Tony Kakkar",BollywoodSad,Creature 3D,9.3/10
Pehle Ke Jaisa,K.K.,BollywoodSad,Jalebi,9.7/10
Main Woh Chaand,Darshan Raval,BollywoodRomanticSad,Teraa Surroor,9.0/10
Ankhiyon Se Goli Mare,"Jaspinder Narula, Sonu Nigam",BollywoodDance,Dulhe Raja,8.2/10
Jab Tak,"Amaal Mallik, Armaan Malik",BollywoodRomantic,M.S. Dhoni,9.4/10
Luv Letter,"Kanika Kapoor, Meet Bros",BollywoodDance,The Legend of Michael Mishra,9.1/10
Ullu ka Pattha,"Arijit Singh, Nikhita Gandhi",Bollywood,Jagga Jasoos,8.8/10
Yaad Hai Na,Arijit Singh,BollywoodRomantic,Raaz Reboot,9.1/10
Balma,"Rekha Bhardwaj, Sunidhi Chauhan",BollywoodDance,Pataakha,9.2/10
Kisi Se Pyar Ho Jaye,Jubin Nautiyal,BollywoodDanceRomantic,Kaabil,9.2/10
Sau Aasmaan,"Armaan Malik, Neeti Mohan",BollywoodDance,Baar Baar Dekho,9.4/10
Beparwah,"Nandini Deb, Siddharth Basrur",BollywoodDance,Munna Michael,9.0/10
Yaad Hai,"Ankit Tiwari, Palak Muchhal",BollywoodSad,Aiyaary,9.7/10
Dhayaan Chand,"Amit Trivedi, Nikhita Gandhi, Suhas Sawant, Vijay Yamla",BollywoodDance,Manmarziyaan,9.4/10
Aaj Zid,Arijit Singh,BollywoodSensual,Aksar 2,9.1/10
Hum Pyaar Hai Tumhare,"Alka Yagnik, Kumar Sanu",BollywoodRomantic,Haan Maine Bhi Pyaar Kiya,8.8/10
Main Hoon,Siddharth Mahadevan,BollywoodDance,Munna Michael,9.1/10
Swag Saha Nahi Jaye,"Neha Bhasin, Shadab Faridi, Sohail Sen",BollywoodDance,Happy Phirr Bhaag Jayegi,9.1/10
Chote Bade,"Ankit Tiwari, Mika Singh",BollywoodDance,Fry Day,8.7/10
Main Hoon Saath Tere,Arijit Singh,BollywoodRomantic,Shaadi Mein Zaroor Aana,9.7/10
Kabira,"Rekha Bhardwaj, Tochi Raina",BollywoodSad,Yeh Jawaani Hai Deewani,9.4/10
Main Kaun Hoon,Meghna Mishra,BollywoodSad,Secret Superstar,9.5/10
